times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(1.0, 0.0, 0.0)
7.6|0.0|0.0|0.0|-134009.38278657032|-134008.14676614307
7.8|0.0|0.0|0.0|-133826.22473917826|-133823.6265737904
8.0|0.0|0.0|0.0|-134065.88657752998|-134064.0577717958
8.2|0.0|0.0|0.0|-134068.92514103977|-134065.5450035449
8.4|0.0|0.0|0.0|-133995.91164865906|-133991.81260132385
8.6|0.0|0.0|0.0|-133940.4846533714|-133935.4648969424
8.8|0.0|0.0|0.0|-133999.9928488897|-133992.66501349962
9.0|0.0|0.0|0.0|-134451.4340890572|-134447.07018020184
9.2|0.0|0.0|0.0|-134062.10213511108|-134060.90395204385
9.4|0.0|0.0|0.0|-133849.569683892|-133848.8886114117
9.6|0.0|0.0|0.0|-134023.25967681315|-134020.37142499848
9.8|0.0|0.0|0.0|-133830.03689165643|-133829.0278953893
10.0|0.0|0.0|0.0|-134015.70158884185|-134014.21331934785
10.2|0.0|0.0|0.0|-133922.5333960251|-133921.75142391806
10.4|0.0|0.0|0.0|-133808.07538197175|-133806.72584946448
10.6|0.0|0.0|0.0|-133891.9508309347|-133889.59230216025
10.8|0.0|0.0|0.0|-133547.81999595347|-133546.15515211268
11.0|0.0|0.0|0.0|-133549.05092863558|-133544.95188130034
11.2|0.0|0.0|0.0|-133582.0955563843|-133577.138862222
11.4|0.0|0.0|0.0|-133773.7541988589|-133772.74520259176
11.6|0.0|0.0|0.0|-133859.16573287203|-133858.48466039172
11.8|0.0|0.0|0.0|-133686.78469865743|-133685.80092729695
12.0|0.0|0.0|0.0|-133755.80004332957|-133754.53879799566
12.2|0.0|0.0|0.0|-134056.7079550965|-134055.1566233358
12.4|0.0|0.0|0.0|-133730.95814297625|-133729.86085953572
12.6|0.0|0.0|0.0|-133547.26855028266|-133545.69199361527
12.8|0.0|0.0|0.0|-133683.67223314624|-133680.99839303832
13.0|0.0|0.0|0.0|-133944.23676420108|-133943.73226606753
13.2|0.0|0.0|0.0|-134008.52618370202|-134007.0126893013
13.4|0.0|0.0|0.0|-134062.8584785384|-134060.38643768392
13.6|0.0|0.0|0.0|-134273.8607381108|-134273.02831619038
13.8|0.0|0.0|0.0|-133940.08502555577|-133938.92467984854
14.0|0.0|0.0|0.0|-133938.22309744393|-133937.42851288358
14.2|0.0|0.0|0.0|-133858.4688503451|-133854.67250188996
14.4|0.0|0.0|0.0|-133967.22949278925|-133966.40968332218
14.6|0.0|0.0|0.0|-134089.61405846293|-134086.8393187283
14.8|0.0|0.0|0.0|-134370.34306080264|-134369.23316490877
15.0|0.0|0.0|0.0|-134267.475891368|-134266.2146460341
15.2|0.0|0.0|0.0|-134013.08953295936|-134011.31117703853
15.4|0.0|0.0|0.0|-133964.07533158473|-133962.22130094387
15.6|0.0|0.0|0.0|-133730.1435447611|-133729.17238585395
15.8|0.0|0.0|0.0|-133859.967995038|-133858.32837610392
16.0|0.0|0.0|0.0|-134009.37590632198|-134006.80296584076
16.2|0.0|0.0|0.0|-133996.29679220924|-133991.79414636712
16.4|0.0|0.0|0.0|-134197.92679197164|-134196.08537378412
16.6|0.0|0.0|0.0|-134007.26223149517|-134005.04243970747
16.8|0.0|0.0|0.0|-133901.09059928567|-133899.7536792317
17.0|0.0|0.0|0.0|-134197.3319033171|-134196.92830481022
17.2|0.0|0.0|0.0|-134205.6056727076|-134204.14262812026
17.4|0.0|0.0|0.0|-133969.55099601092|-133964.12764107506
17.6|0.0|0.0|0.0|-133976.14510690275|-133974.53071287533
17.8|0.0|0.0|0.0|-134034.2104645099|-134030.4393409615
18.0|0.0|0.0|0.0|-134211.5037210992|-134209.29654176484
18.2|0.0|0.0|0.0|-133788.972701146|-133786.37453575814
18.4|0.0|0.0|0.0|-134023.06524945787|-134017.79324396208
18.6|0.0|0.0|0.0|-133820.46925657312|-133818.52693875888
18.8|0.0|0.0|0.0|-134245.4133399129|-134244.12686967227
19.0|0.0|0.0|0.0|-134139.84579777092|-134138.54671507698
19.2|0.0|0.0|0.0|-133833.35056917474|-133831.71095024064
19.4|0.0|0.0|0.0|-133957.5360777956|-133954.25683992737
19.6|0.0|0.0|0.0|-133541.90529045518|-133540.66927002792
19.8|0.0|0.0|0.0|-133615.0441850574|-133611.84062190924
20.0|0.0|0.0|0.0|-133812.78989972922|-133812.12143970226
20.2|0.0|0.0|0.0|-133651.76118218646|-133651.01704743944
20.4|0.0|0.0|0.0|-133837.02550928612|-133835.3732778987
20.6|0.0|0.0|0.0|-133991.3563948906|-133990.78883449035
20.8|0.0|0.0|0.0|-133909.5687921423|-133908.8624947553
21.0|0.0|0.0|0.0|-134098.3465993823|-134097.41327783518
21.2|0.0|0.0|0.0|-134065.54836846876|-134063.6943378279
21.4|0.0|0.0|0.0|-134171.93582174854|-134171.0529500148
21.6|0.0|0.0|0.0|-133870.4019966168|-133869.92272338993
21.8|0.0|0.0|0.0|-134093.5169220896|-134091.6502789954
22.0|0.0|0.0|0.0|-134034.5601614927|-134032.46649423838
22.2|0.0|0.0|0.0|-134211.51017612248|-134210.85432854883
22.4|0.0|0.0|0.0|-133912.4550132391|-133910.0081972913
22.6|0.0|0.0|0.0|-133893.72782475158|-133893.0972020846
22.8|0.0|0.0|0.0|-133736.54487285594|-133735.83857546895
23.0|0.0|0.0|0.0|-133923.70618434768|-133923.17646130745
23.2|0.0|0.0|0.0|-133882.91621559212|-133865.08220657049
23.4|0.0|0.0|0.0|-134077.92996912304|-134074.9029803216
23.6|0.0|0.0|0.0|-133913.98068816663|-133912.9716918995
23.8|0.0|0.0|0.0|-134212.57647321455|-134209.8269583866
24.0|0.0|0.0|0.0|-134173.21894456554|-134171.68022525817
24.2|0.0|0.0|0.0|-134306.25349171736|-134305.40845734364
24.4|0.0|0.0|0.0|-134209.21850980134|-134209.1176101746
24.6|0.0|0.0|0.0|-134223.8863996977|-134222.20894340356
