times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(1.0, 0.0, 0.0)
6.6|0.0|0.0|0.0|-134412.6804228211|-134410.7128801002
6.8|0.0|0.0|0.0|-134290.34699985207|-134286.80290046372
7.0|0.0|0.0|0.0|-134289.60966464682|-134288.00788307277
7.2|0.0|0.0|0.0|-134127.92353561032|-134127.49471219679
7.4|0.0|0.0|0.0|-133937.44363521054|-133936.38418913004
7.6|0.0|0.0|0.0|-134118.4551833563|-134115.80656815507
7.8|0.0|0.0|0.0|-133653.33404214735|-133652.42594550693
8.0|0.0|0.0|0.0|-133971.7085178714|-133970.169798564
8.2|0.0|0.0|0.0|-133906.3059282556|-133902.3960677205
8.4|0.0|0.0|0.0|-133783.09511275918|-133782.43926518553
8.6|0.0|0.0|0.0|-134216.79954573466|-134216.29504760107
8.8|0.0|0.0|0.0|-134312.8433363664|-134310.03075927173
9.0|0.0|0.0|0.0|-134260.19686912687|-134259.3266098465
9.2|0.0|0.0|0.0|-134107.57835255747|-134106.54413138365
9.4|0.0|0.0|0.0|-133956.44388139326|-133955.914158353
9.6|0.0|0.0|0.0|-133934.37002316015|-133933.34841443965
9.8|0.0|0.0|0.0|-134039.99931987605|-134037.6407911016
10.0|0.0|0.0|0.0|-133957.4255878642|-133956.37875423706
10.2|0.0|0.0|0.0|-133950.98062420788|-133949.97162794074
10.4|0.0|0.0|0.0|-134066.925629197|-134065.437359703
10.6|0.0|0.0|0.0|-134070.4818631837|-134069.6494412633
10.8|0.0|0.0|0.0|-133967.91652723515|-133965.5201611007
11.0|0.0|0.0|0.0|-133827.4453884654|-133825.5787453712
11.2|0.0|0.0|0.0|-134055.9272224993|-134055.01912585887
11.4|0.0|0.0|0.0|-134237.83663701077|-134236.94115282368
11.6|0.0|0.0|0.0|-134085.5160380331|-134085.08721461956
11.8|0.0|0.0|0.0|-134029.26864095154|-134028.56234356458
12.0|0.0|0.0|0.0|-134037.93901671903|-134036.6399340251
12.2|0.0|0.0|0.0|-134088.62676092598|-134087.90785108568
12.4|0.0|0.0|0.0|-134236.52124534702|-134235.146487933
12.6|0.0|0.0|0.0|-133922.4963821073|-133920.41532730634
12.8|0.0|0.0|0.0|-134200.69648757644|-134200.01541509613
13.0|0.0|0.0|0.0|-134001.34791709704|-134000.9821559502
13.2|0.0|0.0|0.0|-133970.69965548275|-133969.9176833757
13.4|0.0|0.0|0.0|-133985.5932179446|-133984.79863338423
